No Urut APPD;No Urut Barat-Timur;Kode PWK;Perwakilan BPKP;Korwas/ Dalnis;PIC Narasi;Tema Pengawasan;Judul Lama Tema di Buku;"Usulan Judul Baru (untuk yg warna Merah)
atau Judul yang Lebih Menarik/""Menjual"" (untuk yang warna putih)";Kebermanfaatan / Dampak;Rendal Substantif;Kode Cluster;Nama Cluster APPD 2022;APakah sudah dibahas di FGD Westin?;"Apakah program yang diawasi ini strategis/tidak? Mengapa program ini strategis?
 Apakah dimuat dalam RPJMD/Renstra?(Lengkapi dengan dokumen Renstra/RPJMD/RKPD) 
 Atau apakah menjadi concern Kepala Gubernur?
Poin ini adalah poin krusial yang akan menentukan persepsi Pak Kepala dalam penentuan strategis atau tidak";ada tidaknya permasalahan/isu yg sedang terjadi (concern Gub);Kejelasan tujuan dan dampak program;Nilai Rupiah dari program/anggaran (dalam konteks multiyears / tahunan). Apakah nilainya signifikan?;"Risiko kegagalan program dan permasalahan lainnya jika tidak diawasi 
atau Potensi bernilai ekonomis tinggi jika tidak diawasi";Rendal Substansi;TW I;TW II;TW III;TW IV;TW I;TW II;TW III;TW IV;;Sudah Semua? (v);Catatan
1;44;1;Aceh;Ade Sunardi;Asri;Pengawasan atas Program Pengembangan Perikanan Budidaya;Program Pengembangan Perikanan;;Ya;D1.02;6;Ketahanan Pangan;;Wilayah Aceh sangat kaya akan potensi sumberdaya kelautan dan perikanan. Potensi sumber daya ikan laut Aceh diperkirakan sebesar 272,7 ribu ton per tahun dan potensi perikanan budidaya mencapai 55.896 ha. Dalam RPJMA tahun 2017-2022 telah ditetapkan Program Pengembangan Perikanan Tangkap dan Pengembangan Perikanan Budidaya.;Pemanfaatan sumberdaya ikan laut sebesar 76% sedangkan produktifitas perikanan budidaya sangat rendah yaitu 0,67 ton/ha-5,40 ton/ha.;Peningkatan produktivitas dan nilai tambah dalam rangka membangun ekonomi maritim, mengelola rantai pasok (supply chain management) di seluruh sektor produksi, meningkatkan nilai tambah hasil produksi perikanan, serta memanfaatkan peluang untuk menghasilkan pendapatan daerah melalui ekspor-impor (target produksi ada di RPJMA);Anggaran urusan pemerintahan bidang kelautan dan perikanan Tahun 2022 sebesar Rp206,58Miliar;Keterlambatan dalam proses perencanaan program dan  kegiatan, kelompok sasaran program tidak diindetifikasi secara tepat dan transparan, tidak sesuai dengan kebutuhan pengguna, tidak sesuai dengan kualitas yang ditetapkan;D 1.2;;;✓;;;✓;;;;;
2;43;1;Aceh;Ade Sunardi;Asri;Pengawasan atas Ketersediaan Pupuk Non-Subsidi dalam Mendukung Program Ketahanan Pangan;Manajemen Sumber Daya Air untuk Mendukung Produksi Pertanian;;Ya;D1.02;6;Ketahanan Pangan;sudah dibahas, risiko: irisan dg APP 2022, perlu diperjelas;Merupakan Prioritas Pembangunan Tahun 2022 yang tertuang dalam RPJMD Pemerintah Aceh Periode 2017-2022;Luas jaringan irigasi fungsional sebesar 75,26% dari luas bakunya, sedangkan saluran dan bangunan irigasi kondisi rusak sedang dan berat masing-masing sebesar 38,72% dan 17,90%;Target produksi padi, kedelai, jagung pada tahun 2022 masing-masing sebesar 2,9juta ton, 3.136 ton dan 450ribu ton.;Anggaran tahun 2022 sebesar Rp219,85M;ketidaksesuaian timeline program dengan waktu tanam, output kegiatan tidak dapat langsung dimanfaatkan;D 1.2;;;✓;;;;✓;;;;
3;59;2;Sumatera Utara;Agus Wibowo;Teguh;Pengawasan atas Program Dukungan Daerah terhadap Destinasi Pariwisata Super Prioritas (DPSP) Danau Toba;Peran Daerah dalam Destinasi Pariwisata Super Prioritas (DPSP) Danau Toba;Program Pengembangan Destinasi Pariwisata Super Prioritas (DSP) Danau Toba;Ya;D1.04;8;Pariwisata;;"Danau Toba merupakan satu dari lima wilayah DPSP yang dicangankan Presiden Joko Widodo untuk dikembangkan. Hal tersebut sejalan dengan peningkatan nilai tambah sektor pariwisata, yang juga merupakan salah satu dari delapan fokus pembangunan Provinsi Sumatera Utara Tahun 2022.

Membantu mencapai target Jumlah kunjungan wisatawan mancanegara tahun 2021 yang ditargetkan 370.000 wisatawan
";"Pengembangan terkendala masalah pembebasan lahan dan tuntutan ganti rugi dari masyarakat. Jalan sebagai akses utama juga masih menggunakan jalan utama yang rawan longsor dan dilalui kenderaan berat. Belum adanya perencanaan koordinatif dengan 8 Kabupaten yang wilayahnya terdampak langsung dengan pengembangan DPSP Danau Toba

";"Meningkatkan kontribusi sektor pariwisata terhadap PDRB menjadi 7,10 persen pada tahun 2022.
mempercepat pemulihan ekonomi nasional dan meningkatkan kesejahteraan masyarakat. ";"Persentase Panjang Jalan Provinsi dalam kondisi mantap (%), target 2021: 86,29 Pendanaan 677,52 M

Kunjungan wiastawan mancanegara ke sumut, target 2021: 370.000
Pendanaan 26,92 M

";"Arah dan kebijakan dalam menentukan strategi dalam pencapaian sasaran strategis dalam menjawab isu strategis tersebut kurang tepat
Program dan kegiatan yang dilaksanakan tidak efektif 
Pelaksanaan Program dan kegiatan tidak dilakukan dengan baik dan sesuai perencanaan
";D 1.4;;;;✓;;;;✓;;;
4;15;2;Sumatera Utara;Agus Wibowo;Teguh;Pengawasan atas Layanan Rumah Sakit Bertaraf Internasional di Medan;Implementasi Kebijakan Sawit Berkelanjutan;;Ya;D1.02;6;Ketahanan Pangan;tema pengganti. disetujui;"1. Satu dari 8 delapan fokus pembangunan Provinsi Sumatera Utara Tahun 2022 yaitu ""Peningkatan Nilai Tambah Sektor Agraris"". 
2. Perkebunan kelapa sawit telah banyak mendorong pertumbuhan dan pembangunan di Sumut, Harus dikelola dengan berkesinambungan dan berkelanjutan

Produksi sawit berkontribusi 32,59% dari total produksi perkebunan di Sumatera Utara.";"1. Perlunya Peremajaan tanaman
 2. Permasalahan aspek legalisasi perkebunan kelapa sawit dan data dasar perkebunan kelapa Sawit.
 3. Perlunya Peningkatan Kualitas Infrastruktur Jalan pada daerah sentra Produksi Kelapa Sawit

Tidak ada informasi apakah permasalahan tersebut merupakan concern gubernur";"1. Peningkatan Produktivitas Perkebunan Kelapa Sawit
2. Peningkatan Kesejahteraan Petani Kelapa Sawit
3. Meningkatnya kontribusi Sektor Perkebunan ke PDRB 
4. Perwujudan Pembangunan Berkelanjutan di sektor Perkebunan

Belum terlalu spesifik
evaluasi ditekankan pada bagimana membangun sistem yang berkelanjutan hulu-hilir

mendukung pemerintah mencapai target 70% produksi minyak sawit bersertifikat di tahun 2024. ";"1. Program Peremajaan Sawit Rakyat (PSR) tahun 2021 ditargetkan 20.500 Ha.
2. Program Peningkatan Infrastruktur Jalan pada daerah sentra produksi Sawit (skema multiyears) dengan anggaran Rp 2,7 Trilyun
";BELUM ADA;;;;;;;;;;;belum;ok: poin 1,2(dan 6),4,5, 8 (29012022, menunggu TOR revisi minor)
5;60;3;Sumatera Barat;Ade Sunardi;Asri;Pengawasan atas Pengembangan Industri Pariwisata Berkelas Dunia Geopark Gunung Talang;Pengembangan Industri Pariwisata Berkelas Dunia Geopark Gunung Talang;;Tidak;D1.04;8;Pariwisata;;"Kawasan Gunung Talang merupakan satu-satunya spot di dunia yang dapat melihat pemandangan 4 (empat) danau sekaligus yaitu Danau di Atas, Danau di Bawah, Danau Talang dan Danau Singkarak. Upaya pengembangan Gunung Talang menjadi destinasi wisata berkelas dunia dinyatakan dalam RPJMD Provinsi Sumatera Barat Tahun 2021 – 2026 yaitu "Membangun Industri Pariwisata Melalui Pengembangan 1 (satu) Destinasi Wisata Berkelas Dunia dan 19 (sembilan belas) Destinasi Wisata Unggulan sebagai salah satu motor penggerak pengembangan ekonomi"". ";"NA
Fitur2 apa yang diajukan oleh Sumbar? Biodiversity? Rock formation? Geotourism? Local community empowerment, dsb? (cek kembali checklist UNESCO's Global Geopark di laman resmi)

Apakah pengusulan Gunung Talang ini dari perwakilan atau dari Provinsi?
Aktivitas apa saja yang ada di dalam APBD/RKPD tahun 2022 berdasarkan RPJMD mewujudkan 1 destinasi pariwisata internasional – Gunung Talang sebagai UNESCO's global geopark?

";Indikator kinerja berupa jumlah intervensi pada destinasi internasional Kawasan Gunung Talang sebesar 6 kali, 10 kali, 12 kali, 15 kali dan 17 kali pada tahun 2022 - 2026, dengan kondisi existing (2021) jumlah intervensi sebanyak 4 kali. Selain itu dapat memberikan kontribusi PDRB pariwisata, peningkatan jumlah tenaga kerja pariwisata, peningkatan nilai devisa pariwisata serta peningkatan Travel and Tourism Competiveness Index (TTCI) untuk mendukung RPJMN 2020 -2024.;Anggaran tahun 2022-2026 sebesar Rp57,21Miliar;"risiko koordinasi antar sektor tidak berjalan sehingga masing-masing pihak berjalan sendiri-sendiri (silo), risiko kurangnya komitmen para pihak/adanya ego sektoral, risiko konservasi dan perlindungan alam serta budaya lokal. 
Note: bisa ditambahkan potential loss jika tidak berhasil mendapat sertifikasi internasional";D 1.4;;;;✓;;;;✓;;belum;
6;1;3;Sumatera Barat;Ade Sunardi;Asri;"Pengawasan atas Program ""Mencetak 100 Ribu Millenial Enterpreneur dan Women Enterpreneur Serta Pelaku Ekonomi Kreatif""";"Program ""Mencetak 100 Ribu Millenial Enterpreneur dan Women Enterpreneur Serta Pelaku Ekonomi Kreatif""";;Tidak;D1.04;1;Pemulihan Ekonomi;;"Provinsi Sumatera Barat memperoleh bonus demografi dengan proporsi penduduk usia produktif pada tahun 2020 mencapai 68,65%. Kondisi ini yang dapat dimanfaatkan sebagai modal pembangunan perekonomian berdasarkan kultur masyarakat yang unggul dalam bidang kewirausahaan. Salah satu Program Unggulan dalam RPJMD Provinsi Sumatera Barat Tahun 2021 – 2026 adalah "mencetak 100 ribu millenial enterpreneur dan women enterpreneur serta pelaku ekonomi kreatif""";NA;Mencetak 20 ribu entrepeneur setiap tahunnya pada tahun 2022-2026, tersebar pada sektor pertanian, peternakan, perikanan, industri, UMKM, pariwisata, ekonomi kreatif dan sektor potensial lainnya;Anggaran tahun 2022-2026 sebesar Rp19,33Miliar;risiko koordinasi antar sektor tidak berjalan sehingga masing-masing pihak berjalan sendiri-sendiri (silo), risiko konservasi dan perlindungan alam serta budaya lokal;D 1.4;;;;✓;;;✓;;;belum;"dielaborasi bentuk aktivitas dalam program apa? insentif modal, pelatiihan, sertifikasi, atau apa?

kalo bisa dipush ke triwulan IV"
7;61;4;Riau;Agus Wibowo;Teguh;Pengawasan atas Pembangunan Kawasan Strategis Pariwisata Nasional Pulau Rupat;Pembangunan Kawasan Strategis Pariwisata Nasional Pulau Rupat;;Tidak;D1.04;8;Pariwisata;;"Memiliki potensi destinasi wisata yang sangat bagus dan arus transportasi laut yang sangat tinggi, dan merupakan salah satu Kawasan Strategis Pariwisata Nasional sesuai PP 50 Tahun 2011

Pembangunan KSPN Pulau Rupat pun telah sesuai dengan RPJMD Kabupaten Bengkalis Tahun 2021 – 2026 dengan strategi antara lain penguatkan sektor kepariwisataan unggulan, pertumbuhan ekonomi spasial serta penguatan jaringan infrastruktur jalan dan jembatan pada wilayah perbatasan";"Pembangunan belum optimal, ditandai dengan Indeks Kesulitan Geografis (IKG) berupa jalan akses yang rawan banjir maupun rob, penanganan abrasi dan fasilitas pendukung yang kurang memadai (penginapan, restoran dll) dan tantangan pelestarian lingkungan, khususnya kawasan hutan bakau (mangrove). Koordinasi antara Kementerian terkait, Pemerintah Provinsi Riau, Pemerintah Kabupaten Bengkalis dan Pemerintah Kota Dumai juga belum optimal
";"Meningkatkan kapasitas ekonomi regional di Provinsi Riau karena lokasi pulau Rupat yang sangat strategis yaitu berada di selat malaka yang berhadapan langsung dengan Malaysia. Dengan terus dibangunnya Jalan Tol Trans Sumatra, maka pembangunan KSPN Pulau Rupat akan dapat menerima pasar pariwisata baik dari dalam maupun luar negeri.

Ada data yang lebih spesifik?
data2 makro dll?";Pemerintah Kabupaten Bengkalis berencana meningkatkan kualitas jalan poros di pulau Rupat dengan anggaran sebesar Rp50,33 M pada tahun 2022 dan  mengusulkan pembangunan infrastruktur pendukung berupa jalan dan jembatan kepada Kementerian PUPR sebesar Rp 607,49 M, mengusulkan 25 kegiatan pengembangan KSPN  kepada Kementerian Pariwisata dan Ekonomi Kreatif senilai Rp 42 M;"Risiko pembangunan yang tidak efektif terhadap peningkatan kesejahteraan masyarakat; Risiko kerusakan lingkungan; Risiko kriminalitas yang berkaitan dengan kegiatan keluar masuknya orang dan barang di perbatasan.";D 1.4;✓;;;;;;;✓;;belum;
8;7;4;Riau;Agus Wibowo;Teguh;Pengawasan atas Pembangunan Kawasan Industri Tenayan (KIT);Pembangunan Kawasan Industri Tenayan (KIT);;Ya;D1.03;2;Pengembangan Kawasan dan Ekonomi Regional;;"1. KIT telah ditetapkan menjadi salah satu dari 27 KI di luar Pulau Jawa yang menjadi fokus peningkatan industrialisasi Indonesia (Berdasarkan PP Nomor 18 Tahun 2020 tentang RPJMN Tahun 2020 – 2024)
2. KIT telah dipersiapkan sejak tahun 1993 melalui Perda No. 4 Tahun 1993 tentang Rencana Umum Tata Ruang Kota Pekanbaru
3. Menjadi unggulan dalam mencapai sasaran meningkatnya daya saing industri demi mewujudkan visi Pekanbaru sebagai Smart City Madani sebagaimana tertuang dalam RPJMD Kota Pekanbaru Tahun 2017 – 2022";"Bottleneck:
1. Keterbatasan Lahan Siap Bangun
2. Infrastruktur belum memadai: Infrastruktur dalam kawasan, outer ring road 
3. Pengelolaan belum optimal: BUPP belum beroperasi maksimal, belum ada link and match dgn SDM lokal, aturan pelaksana intensif kawasan belum terbit
4. Perubahan regulasi tentang Kawasan Industri yang mengakibatkan perlunya perubahan perencanaan (master plan) KIT;
5. Regulasi pendukung yang belum selaras dengan rencana pembangunan KIT
";meningkatkan industrialisasi Indonesia. Diproyeksikan dapat menampung hilirisasi 2 juta ton CPO per tahun, berkontrobusi terhadap PDRB senilai Rp145,5 triliun per tahun, memberikan penerimaan negara senilai Rp14,6 triliun per tahun serta mampu menyerap tenaga kerja hingga 155.000 orang.;"Luas 1550 Ha

Terdapat pembangunan infrastruktur pendukung luar KIT yang dibangun secara simultan baik oleh Pemerintah Kota Pekanbaru, Pemerintah Provinsi Riau atau Pemerintah Pusat yang meliputi pembangunan jalan dan jembatan sepanjang 30,18 KM secara multiyears dengan total perkiraan kebutuhan anggaran senilai Rp1.521.918.281.000,00";"Risiko meningkatnya permasalahan lahan; Risiko pembangunan industri yang tidak ramah lingkungan.";D 1.3;;;;✓;✓;;;;;belum;
9;16;5;Jambi;Aderial Adelis;Widi;Pengawasan atas Pembangunan Pelabuhan Ujung Jabung;Pembangunan Pelabuhan Ujung Jabung;;Tidak;D1.03;3;Penguatan Infrastruktur dan Konektivitas;;"Penyelesaian pelabuhan dapat mendorong perekonomian melalui peningkatan arus komoditas dan orang (aktivitas ekonomi).
mendukung aktivitas tol laut di pulau Sumatera";"Pembangunan Pelabuhan Ujung Jabung terhenti karena keterbatasan dana Kementerian Perhubungan, belanja sebesar Rp230 M tidak efektif. 
note+ tambahkan persentase anggaran dan fisiknya dan alasan dihentikan";Kawasan Pelabuhan Ujung Jabung diharapkan akan menjadi pemicu pertumbuhan ekonomi lokal, regional, nasional dan internasional, akan menjadi kawasan ekonomi terpadu Provinsi Jambi (Belum spesifik);Anggaran telah keluar sebesar Rp230M, masih diperlukan anggaran sebesar Rp165M. Pemda Jambi mengalokasikan anggaran sebesar Rp19M (APBD Perubahan 2021 dan APBD 2022);inefisiensi belanja daerah / pemborosan sebesar Rp 230M.;D 1.3;✓;;;;;;;✓;;SUDAH OK;Belum diketahui nilai proyek secara total, prosentase pekerjaan pada saat dihentikan, alasan dihentikan kecuali adanya kekurangan dana dari Kemenhub. Dari jawaban perwakilan proyek mulai sekitar 2014, dihentikan tahun 2018/2019. Untuk pertanyaan lain yang diajukan, perwakilan belum bisa menjawab. 
10;27;5;Jambi;Aderial Adelis;Widi;Pengawasan atas Pemberdayaan Suku Anak Dalam;Pemberdayaan Suku Anak Dalam;;Tidak;D2.04;4;Pembangunan Sumber Daya Manusia;;Bantuan yang diberikan kepada suku Anak Dalam masih berupa bantuan lepas salur seperti bantuan sosial, pangan, dan dikhawatirkan menimbulkan ketergantungan. Sedangakan bantuan lainnya berupa bantuan rumah, terdapat kemungkinan  ditinggalkan karena terkait dengan adat/kebiasaan Suku Anak Dalam yang dalam kondisi tertentu harus meninggalkan lokasi tinggalnya. Belum ada RPJMD/Renstra (belum dapat dihubungkan) -- Diperluas menjadi Program pemberdayaan Suku Anak Dalam (Cek lagi di RPJMD-nya) termasuk indikatornya plus Cek Regulasi terkait (seperti Papua Barat), IPM, Kesehatan, Pendidikan, Ekonomi, Data Umum Suku Anak Dalam dan penyebaran lokasinya.;Efektivitas bantuan yang diberikan kepada Suku Anak Dalam, dimana bantuan pada tahun 2021 telah diberikan  berupa bantuan  kambing dan aneka bibit palawija serta bantuan 80 rumah tinggal kepada Suku Anak Dalam di Kabupaten Merangin dan Sarolangun. Namun perkembangan kehidupan masyarakat Suku Anak Dalam tidak berubah banyak termasuk pola pembinaan dan pemberian bantuan belum terpadu - Nilai bantuan tidak tersedia;"Bantuan sosial (bantuan berupa kambing, aneka bibit palawija) dari Kementerian Sosial dan bantuan 80 rumah tinggal dari Kementerian PUPR. Dampak: a) Tingkat kehidupan Komunitas Adat Terpencil  Suku Anak Dalam (KAT-SAD) akan lebih baik, baik dari segi perekonomian, pendidikan, kesehatan, sosial dan lainnya, b) Mengurangi adanya konflik sosial, ekonomi dan keamanan antara KAT-SAD dengan masyarakat umum dan perusahaan-perusahaan HPH yang ada di sekitar lokasi tempat tinggal KAT-SAD seiring dengan meningkatnya tingkat kehidupan KAT-SAD, 	Bantuan dan program pembinaan yang diberikan  tidak sia-sia dan lebih efektif (mengurangi pemborosan keuangan negara/daerah). ";N/A;Bantuan yang diberikan tidak memberikan dampak terhadap  perkembangan kehidupan Suku Anak Dalam (indikator keberhasilan bantuan/program belum ada);D 2.3;;✓;;;;✓;;;;belum;Memastikan sumber anggaran dan nilai kegiatan/program, indikator keberhasilan program, pastikan peran pemda
