No Urut APPD,Tema Pengawasan,ESG Relevance,SDGs Relevance,IFC Performance Standards,OJK Relevance,GRI Standards,Key Insights
1,Pengawasan atas Program Pengembangan Perikanan Budidaya,Very Relevant,Very Relevant,PS6 (Biodiversity),Very Relevant,"GRI 201, 203, 304","Supports SDG 2, 8, 12, 14; ESG: E (resource use, biodiversity), S (community livelihood); Focus on sustainable fisheries development and community empowerment"
2,Pengawasan atas Ketersediaan Pupuk Non-Subsidi dalam Mendukung Program Ketahanan Pangan,Very Relevant,Very Relevant,PS3 (Resource Efficiency),Very Relevant,"GRI 301, 302, 306","Supports SDG 2, 12; ESG: E (input efficiency), S (farmer welfare); Focus on agricultural resource management and food security"
3,Pengawasan atas Program Dukungan Daerah terhadap Destinasi Pariwisata Super Prioritas (DPSP) Danau Toba,Very Relevant,Very Relevant,"PS6, PS7",Very Relevant,"GRI 203, 413","Supports SDG 8, 12, 15; ESG: E (conservation), S (community jobs); Focus on sustainable tourism development"
4,Pengawasan atas Layanan Rumah Sakit Bertaraf Internasional di Medan,Mildly Relevant,Very Relevant,"PS2, PS3, PS6",Very Relevant,"GRI 403, 404, 413","Supports SDG 3, 12; ESG: S (health access, labor); Focus on healthcare infrastructure and service quality"
5,Pengawasan atas Pengembangan Industri Pariwisata Berkelas Dunia Geopark Gunung Talang,Very Relevant,Very Relevant,"PS6, PS7",Very Relevant,"GRI 203, 304, 413","Supports SDG 8, 12, 15; ESG: E (conservation), S (community jobs); Focus on sustainable tourism and geopark development"
6,Pengawasan atas Program Mencetak 100 Ribu Millenial Enterpreneur dan Women Enterpreneur,Very Relevant,Very Relevant,PS2,Very Relevant,"GRI 405, 406, 413","Supports SDG 5, 8, 10; ESG: S (gender, inclusion), G (entrepreneurship); Focus on youth and women entrepreneurship"
7,Pengawasan atas Pembangunan Kawasan Strategis Pariwisata Nasional Pulau Rupat,Very Relevant,Very Relevant,"PS1, PS6, PS7",Very Relevant,"GRI 203, 304, 413","Supports SDG 8, 9, 11; ESG: E (infrastructure, conservation), S (community); Focus on sustainable tourism infrastructure"
8,Pengawasan atas Pembangunan Kawasan Industri Tenayan (KIT),Very Relevant,Very Relevant,"PS3, PS4, PS6",Very Relevant,"GRI 203, 302, 305","Supports SDG 8, 9, 12; ESG: E (industrial impact), S (jobs), G (governance); Focus on sustainable industrial development"
9,Pengawasan atas Pembangunan Pelabuhan Ujung Jabung,Mildly Relevant,Mildly Relevant,"PS1, PS3",Mildly Relevant,GRI 203,"Supports SDG 9, 11; ESG: E (infrastructure), S (jobs); Focus on port infrastructure development"
10,Pengawasan atas Pemberdayaan Suku Anak Dalam,Very Relevant,Very Relevant,"PS7, PS2",Very Relevant,"GRI 411, 413","Supports SDG 1, 10, 16; ESG: S (inclusion, indigenous rights), G (community governance); Focus on indigenous community development"
11,Pengawasan atas Program Penanganan Kebakaran Hutan dan Lahan,Very Relevant,Very Relevant,"PS6, PS3",Very Relevant,"GRI 304, 305, 413","Supports SDG 13, 15; ESG: E (environmental protection), S (community resilience); Focus on forest conservation and fire prevention"
